scenario,deal_name,year,relative_year,active,asset_value,debt_balance,assumed_liabilities,net_equity_value,noi,gross_rent,debt_service,capex,free_cashflow_after_debt_and_capex,dscr,prior_refi_liability,ending_refi_liability,max_debt_supported,cash_out_before_refi_costs,refi_costs,refi_capacity,refi_proceeds,refi_liability_added,deal_nav_before_refi_liability,deal_nav_after_refi_liability,deal_nav,entry_equity_cushion,value_to_new_equity_multiple,new_equity_required,refinance_proceeds_use
jon_downside_case,jon_deal_1,10,10,True,14217908.544896692,10000000.0,0.0,4217908.544896692,945909.0450900001,0.0,750000.0,47295.45225450001,148613.59283550014,1.26121206012,0.0,0.0,8530745.126938015,-1469254.8730619848,0.0,0.0,0.0,0.0,4217908.544896692,4217908.544896692,4217908.544896692,0.0,1.405969514965564,3000000.0,fund_liquidity
jon_downside_case,jon_deal_1,11,11,True,14360087.63034566,10000000.0,0.0,4360087.630345659,955368.1355409002,0.0,750000.0,47768.40677704501,157599.72876385515,1.2738241807212003,0.0,0.0,8616052.578207396,-1383947.421792604,0.0,0.0,0.0,0.0,4360087.630345659,4360087.630345659,4360087.630345659,0.0,1.453362543448553,3000000.0,fund_liquidity
jon_downside_case,jon_deal_1,12,12,True,14503688.506649116,10000000.0,0.0,4503688.506649116,964921.816896309,0.0,750000.0,48246.09084481545,166675.72605149358,1.286562422528412,0.0,0.0,8702213.103989469,-1297786.896010531,0.0,0.0,0.0,0.0,4503688.506649116,4503688.506649116,4503688.506649116,0.0,1.501229502216372,3000000.0,fund_liquidity
jon_downside_case,jon_deal_1,13,13,True,14648725.391715607,10000000.0,0.0,4648725.391715607,974571.0350652722,0.0,750000.0,48728.551753263615,175842.4833120086,1.2994280467536963,0.0,0.0,8789235.235029364,-1210764.764970636,0.0,0.0,0.0,0.0,4648725.391715607,4648725.391715607,4648725.391715607,0.0,1.5495751305718688,3000000.0,fund_liquidity
jon_downside_case,jon_deal_1,14,14,True,14795212.645632764,10000000.0,0.0,4795212.645632764,984316.7454159248,0.0,750000.0,49215.83727079624,185100.90814512857,1.3124223272212332,0.0,0.0,8877127.587379659,-1122872.4126203414,0.0,0.0,0.0,0.0,4795212.645632764,4795212.645632764,4795212.645632764,0.0,1.5984042152109215,3000000.0,fund_liquidity
jon_downside_case,jon_deal_1,15,15,True,14943164.772089094,10000000.0,0.0,4943164.772089094,994159.912870084,0.0,750000.0,49707.995643504204,194451.91722657986,1.3255465504934454,0.0,0.0,8965898.863253456,-1034101.1367465444,0.0,0.0,0.0,0.0,4943164.772089094,4943164.772089094,4943164.772089094,0.0,1.6477215906963647,3000000.0,fund_liquidity
jon_downside_case,jon_deal_1,16,16,True,15092596.419809982,10000000.0,0.0,5092596.419809982,1004101.5119987848,0.0,750000.0,50205.07559993924,203896.4363988456,1.3388020159983798,0.0,0.0,9055557.85188599,-944442.1481140107,0.0,0.0,0.0,0.0,5092596.419809982,5092596.419809982,5092596.419809982,0.0,1.6975321399366607,3000000.0,fund_liquidity
jon_downside_case,jon_deal_1,17,17,True,15243522.384008083,10000000.0,0.0,5243522.3840080835,1014142.5271187729,0.0,750000.0,50707.12635593864,213435.4007628342,1.3521900361583639,0.0,0.0,9146113.43040485,-853886.5695951506,0.0,0.0,0.0,0.0,5243522.3840080835,5243522.3840080835,5243522.3840080835,0.0,1.7478407946693613,3000000.0,fund_liquidity
jon_downside_case,jon_deal_1,18,18,True,15395957.607848164,10000000.0,0.0,5395957.607848164,1024283.9523899605,0.0,750000.0,51214.19761949803,223069.7547704625,1.3657119365199473,0.0,0.0,9237574.564708898,-762425.4352911022,0.0,0.0,0.0,0.0,5395957.607848164,5395957.607848164,5395957.607848164,0.0,1.798652535949388,3000000.0,fund_liquidity
jon_downside_case,jon_deal_1,19,19,True,15549917.183926646,10000000.0,0.0,5549917.183926646,1034526.7919138602,0.0,750000.0,51726.33959569302,232800.45231816723,1.379369055885147,0.0,0.0,9329950.310355987,-670049.6896440126,0.0,0.0,0.0,0.0,5549917.183926646,5549917.183926646,5549917.183926646,0.0,1.8499723946422153,3000000.0,fund_liquidity
