scenario,description,lp_initial_capital,years_modelled,lp_hurdle_moic,lp_hurdle_amount,lp_cash_distributions,lp_cash_moic,lp_economic_moic,lp_irr,lp_cash_irr,lp_economic_irr,gp_cash_irr_if_co_investment,gp_total_value_multiple_if_co_investment,lp_hurdle_achieved,year_hurdle_achieved,liquidity_constrained,final_fund_nav,gp_cumulative_fees,gp_residual_nav,gp_total_economics,gp_residual_nav_pct_initial_lp_capital,gp_total_economics_pct_initial_lp_capital,gp_cumulative_fees_first_n_years,gp_average_annual_fees_first_n_years,gp_survivability_risk,years_with_zero_lp_distribution,years_with_distribution_below_target_yield,longest_zero_distribution_streak,longest_below_target_yield_streak,years_until_first_distribution,lp_time_under_1x_cash_moic,lp_time_under_1x_economic_moic,lp_final_unrecovered_hurdle,lp_redeemed_by_model_end,primary_flag,all_flags
base_hit_everyone_happy,LP reaches 2.0x in a reasonable period; GP retains meaningful residual assets.,10000000.0,8,2.0,20000000.0,6165183.562664455,0.6165183562664455,2.0,-0.09078424270460261,-0.09078424270460261,0.10712155775795451,,,False,,True,14319748.112009628,281955.3235600343,0.0,281955.3235600343,0.0,0.028195532356003427,165739.470336,33147.8940672,True,0,0,0,0,1,8,0,13834816.437335545,False,HURDLE_REACHED_BUT_LIQUIDITY_CONSTRAINED,LP_HURDLE_NOT_ACHIEVED; HURDLE_REACHED_BUT_LIQUIDITY_CONSTRAINED; SLOW_TIME_HORIZON_DRIFT; GP_SURVIVABILITY_RISK; LP_STILL_BELOW_1X_CASH_MOIC_AT_END; LP_EXPERIENCE_WEAK_DESPITE_POSITIVE_NAV
fast_success_crypto_bull,Crypto sleeve accelerates LP 2.0x outcome quickly; tests GP convexity and fairness optics.,10000000.0,5,2.0,20000000.0,3142772.2068108814,0.31427722068108815,1.945010183836088,-0.28678221551607164,-0.28678221551607164,0.15464814487868006,,,False,,False,16307329.63155,148921.2594705,0.0,148921.2594705,0.0,0.01489212594705,148921.2594705,29784.251894099998,True,0,0,0,0,1,5,0,16857227.79318912,False,LP_HURDLE_NOT_ACHIEVED,LP_HURDLE_NOT_ACHIEVED; SLOW_TIME_HORIZON_DRIFT; GP_SURVIVABILITY_RISK; LP_STILL_BELOW_1X_CASH_MOIC_AT_END; LP_EXPERIENCE_WEAK_DESPITE_POSITIVE_NAV
slow_grind,Moderate real estate performance and weak crypto; LP eventually does okay but time horizon drifts.,10000000.0,15,2.0,20000000.0,10243518.835276429,1.0243518835276428,2.0,0.0027915778157399096,0.0027915778157399096,0.0645381231997888,,,False,,True,13461614.951064553,440982.13136326516,0.0,440982.13136326516,0.0,0.04409821313632652,132703.02408,26540.604816,True,0,0,0,0,1,14,0,9756481.164723571,False,HURDLE_REACHED_BUT_LIQUIDITY_CONSTRAINED,LP_HURDLE_NOT_ACHIEVED; HURDLE_REACHED_BUT_LIQUIDITY_CONSTRAINED; SLOW_TIME_HORIZON_DRIFT; GP_SURVIVABILITY_RISK
hedge_fund_failure_re_survival,"Hedge fund sleeve suffers major impairment, while real estate survives and cash-flows.",10000000.0,12,2.0,20000000.0,9499808.09452837,0.9499808094528369,2.0,-0.007221752139763726,-0.007221752139763726,0.07866962036509983,,,False,,True,12293678.376830766,386965.26080434676,0.0,386965.26080434676,0.0,0.038696526080434675,147440.01486328125,29488.00297265625,True,0,0,0,0,1,12,0,10500191.90547163,False,HURDLE_REACHED_BUT_LIQUIDITY_CONSTRAINED,LP_HURDLE_NOT_ACHIEVED; HURDLE_REACHED_BUT_LIQUIDITY_CONSTRAINED; SLOW_TIME_HORIZON_DRIFT; GP_SURVIVABILITY_RISK; HF_MAJOR_DRAWDOWN; LP_STILL_BELOW_1X_CASH_MOIC_AT_END; LP_EXPERIENCE_WEAK_DESPITE_POSITIVE_NAV
real_estate_distress_crypto_success,Real estate underperforms but crypto performs strongly enough to protect LP outcome.,10000000.0,8,2.0,20000000.0,2519895.1640599496,0.251989516405995,1.3782021469280366,-0.2411944238319944,-0.2411944238319944,0.04524260456337159,,,False,,False,11262126.305220416,147054.51558236664,0.0,147054.51558236664,0.0,0.014705451558236665,96060.862524,19212.1725048,True,0,0,0,0,1,8,0,17480104.83594005,False,LP_HURDLE_NOT_ACHIEVED,LP_HURDLE_NOT_ACHIEVED; SLOW_TIME_HORIZON_DRIFT; GP_SURVIVABILITY_RISK; RE_NAV_IMPAIRMENT; LP_STILL_BELOW_1X_CASH_MOIC_AT_END; LP_EXPERIENCE_WEAK_DESPITE_POSITIVE_NAV
exceptional_dynasty_outcome,Both sleeves perform strongly; LP receives excellent return and GP retains very large residual value.,10000000.0,9,2.0,20000000.0,20000000.0,2.0,2.0,0.10410616496000924,0.10410616496000924,0.10410616496000924,,,True,9.0,True,14734964.858591892,413962.5423563991,14734964.858591892,15148927.400948292,1.4734964858591892,1.514892740094829,194477.821824,38895.564364800004,True,0,0,0,0,1,8,0,0.0,True,LP_HURDLE_ACHIEVED,LP_HURDLE_ACHIEVED; HURDLE_REACHED_BUT_LIQUIDITY_CONSTRAINED; SLOW_TIME_HORIZON_DRIFT; GP_SURVIVABILITY_RISK; HF_MAJOR_DRAWDOWN
liquidity_trap,"Economic hurdle is reached on NAV, but liquid resources are insufficient to redeem LPs.",10000000.0,10,2.0,20000000.0,9191231.427807841,0.9191231427807841,2.0,-0.013190325573647632,-0.013190325573647632,0.0909773399274929,,,False,,True,18958353.09967409,387551.36531389016,0.0,387551.36531389016,0.0,0.03875513653138902,161308.2292305,32261.6458461,True,0,0,0,0,1,10,0,10808768.572192159,False,HURDLE_REACHED_BUT_LIQUIDITY_CONSTRAINED,LP_HURDLE_NOT_ACHIEVED; HURDLE_REACHED_BUT_LIQUIDITY_CONSTRAINED; SLOW_TIME_HORIZON_DRIFT; GP_SURVIVABILITY_RISK; LP_STILL_BELOW_1X_CASH_MOIC_AT_END; LP_EXPERIENCE_WEAK_DESPITE_POSITIVE_NAV
failure_never_reaches_hurdle,Both sleeves disappoint; LP never reaches 2.0x.,10000000.0,12,2.0,20000000.0,4114003.7951589576,0.41140037951589575,1.267452555068439,-0.11736559191236429,-0.11736559191236429,0.0238795408390291,,,False,,False,8560521.755525433,231774.86169909628,0.0,231774.86169909628,0.0,0.02317748616990963,99980.29820399999,19996.0596408,True,0,0,0,0,1,12,1,15885996.204841042,False,LP_HURDLE_NOT_ACHIEVED,LP_HURDLE_NOT_ACHIEVED; SLOW_TIME_HORIZON_DRIFT; GP_SURVIVABILITY_RISK; HF_MAJOR_DRAWDOWN; LP_STILL_BELOW_1X_CASH_MOIC_AT_END; LP_EXPERIENCE_WEAK_DESPITE_POSITIVE_NAV
