scenario,year,real_estate_mode,re_opening_nav,re_gross_asset_value,re_debt_balance,re_assumed_liabilities,re_net_equity_value,re_noi_yield,re_noi,gross_rent,re_debt_service,re_capex,re_dscr,re_prior_refi_liability,re_ending_refi_liability,re_max_debt_supported,re_cash_out_before_refi_costs,re_refi_costs,re_refi_capacity,re_refi_proceeds_from_deals,re_free_cashflow_after_debt_and_capex,re_cashflow_shortfall,active_deal_count,acquisition_starting_retained_cash,acquisition_starting_reserve,acquisition_new_deal_equity_required,acquisition_funded_from_initial_lp_capital,acquisition_funded_from_retained_cash,acquisition_funded_from_reserve,acquisition_unfunded_shortfall,acquisition_ending_retained_cash,acquisition_ending_reserve,acquisition_funding_source,re_asset_mgmt_fee,net_re_cashflow,re_cashflow_generated,re_cashflow_to_lp,re_cashflow_to_hf,re_cashflow_to_reserve,re_appreciation_rate,re_closing_nav,hf_opening_nav,hf_return,hf_harvest,hf_harvest_generated,hf_harvest_to_lp,hf_harvest_to_hf,hf_harvest_to_reserve,hf_closing_nav,refinance_proceeds,refinance_use_of_proceeds,cumulative_refinance_proceeds,refinance_liability,reserve_opening_nav,reserve_closing_nav,retained_cash,lp_cash_yield_target,lp_cash_yield_paid,lp_cash_yield_shortfall,cumulative_lp_cash_yield_shortfall,lp_cash_yield_coverage_ratio,cumulative_reinvested_into_hf,cumulative_cash_distributed_to_lp,cumulative_cash_added_to_reserve,hf_reinvestment_source_re,hf_reinvestment_source_hf,total_cash_reinvested,total_cash_distributed,total_cash_reserved,lp_distribution,lp_cumulative_distribution,lp_remaining_hurdle,economic_hurdle_passed,liquidity_available,liquidity_hurdle_passed,hurdle_trigger_eligible,hurdle_trigger_attempted,hurdle_trigger_executed,hurdle_trigger_required_cash,trigger_cash_from_retained_cash,trigger_cash_from_reserve,trigger_cash_from_hf_liquidation,trigger_cash_from_refi,trigger_cash_from_re_sale,lp_hurdle_shortfall_after_trigger,hf_nav_liquidated_for_hurdle,refi_proceeds_for_hurdle,re_nav_sold_for_hurdle,gp_fees,gp_cumulative_fees,gp_residual_nav,fund_nav,event_flag
fast_success_crypto_bull,3,top_down,9017650.0,9288179.5,0.0,0.0,9288179.5,0.072828,656737.4142,991941.5,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,626979.1692,0.0,0,0.0,674474.825,0.0,0.0,0.0,0.0,0.0,0.0,674474.825,,29758.245,626979.1692,626979.1692,62697.91692,470234.37690000003,94046.87538,0.03,9288179.5,4092544.125,0.3,0.0,0.0,0.0,0.0,0.0,5790541.739399999,0.0,,0.0,0.0,674474.825,768521.7003799999,0.0,0.0,0.0,0.0,0.0,,1342608.5019,179014.46692,268521.70038,470234.37690000003,0.0,470234.37690000003,62697.91692,94046.87538,62697.91692,179014.46692,19820985.53308,False,8881108.31478,False,False,False,False,19820985.53308,0.0,0.0,0.0,0.0,0.0,19820985.53308,0.0,0.0,0.0,29758.245,86699.745,0.0,15847242.939779999,
fast_success_crypto_bull,4,top_down,9288179.5,9566824.885,0.0,0.0,9566824.885,0.07428456000000001,689968.3273585201,1021699.745,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,659317.3350085202,0.0,0,0.0,768521.7003799999,0.0,0.0,0.0,0.0,0.0,0.0,768521.7003799999,,30650.99235,659317.3350085202,659317.3350085202,65931.73350085202,494488.0012563901,98897.60025127803,0.03,9566824.885,5790541.739399999,0.25,0.0,0.0,0.0,0.0,0.0,7732665.17550639,0.0,,0.0,0.0,768521.7003799999,867419.300631278,0.0,0.0,0.0,0.0,0.0,,1837096.50315639,244946.20042085202,367419.300631278,494488.0012563901,0.0,494488.0012563901,65931.73350085202,98897.60025127803,65931.73350085202,244946.20042085202,19755053.799579147,False,10991790.697387667,False,False,False,False,19755053.799579147,0.0,0.0,0.0,0.0,0.0,19755053.799579147,0.0,0.0,0.0,30650.99235,117350.73735,0.0,18166909.361137666,
fast_success_crypto_bull,5,top_down,9566824.885,9853829.63155,0.0,0.0,9853829.63155,0.0757702512,724880.7247228611,1052350.73735,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,693310.2026023611,0.0,0,0.0,867419.300631278,0.0,0.0,0.0,0.0,0.0,0.0,867419.300631278,,31570.5221205,693310.2026023611,693310.2026023611,69331.02026023611,519982.6519517708,103996.53039035416,0.03,9853829.63155,7732665.17550639,0.15,0.0,0.0,0.0,0.0,0.0,9412547.603784118,0.0,,0.0,0.0,867419.300631278,971415.8310216321,0.0,0.0,0.0,0.0,0.0,,2357079.155108161,314277.22068108816,471415.8310216322,519982.6519517708,0.0,519982.6519517708,69331.02026023611,103996.53039035416,69331.02026023611,314277.22068108816,19685722.77931891,True,12847420.84269325,False,False,False,False,19685722.77931891,0.0,0.0,0.0,0.0,0.0,19685722.77931891,0.0,0.0,0.0,31570.5221205,148921.2594705,0.0,20237793.06635575,HURDLE_REACHED_BUT_LIQUIDITY_CONSTRAINED
slow_grind,1,top_down,8500000.0,8670000.0,0.0,0.0,8670000.0,0.065,552500.0,850000.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,527000.0,0.0,0,0.0,500000.0,0.0,0.0,0.0,0.0,0.0,0.0,500000.0,,25500.0,527000.0,527000.0,52700.0,395250.0,79050.0,0.02,8670000.0,1000000.0,0.19,0.0,0.0,0.0,0.0,0.0,1585250.0,0.0,,0.0,0.0,500000.0,579050.0,0.0,0.0,0.0,0.0,0.0,,395250.0,52700.0,79050.0,395250.0,0.0,395250.0,52700.0,79050.0,52700.0,52700.0,19947300.0,False,4331800.0,False,False,False,False,19947300.0,0.0,0.0,0.0,0.0,0.0,19947300.0,0.0,0.0,0.0,25500.0,25500.0,0.0,10834300.0,
slow_grind,2,top_down,8670000.0,8843400.0,0.0,0.0,8843400.0,0.06597499999999999,572003.2499999999,867000.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,545993.2499999999,0.0,0,0.0,579050.0,0.0,0.0,0.0,0.0,0.0,0.0,579050.0,,26010.0,545993.2499999999,545993.2499999999,54599.32499999999,409494.9374999999,81898.98749999997,0.02,8843400.0,1585250.0,-0.05,0.0,0.0,0.0,0.0,0.0,1915482.4375,0.0,,0.0,0.0,579050.0,660948.9874999999,0.0,0.0,0.0,0.0,0.0,,804744.9374999999,107299.32499999998,160948.9875,409494.9374999999,0.0,409494.9374999999,54599.32499999999,81898.98749999997,54599.32499999999,107299.32499999998,19892700.675,False,4787281.425,False,False,False,False,19892700.675,0.0,0.0,0.0,0.0,0.0,19892700.675,0.0,0.0,0.0,26010.0,51510.0,0.0,11419831.425,
slow_grind,3,top_down,8843400.0,9020268.0,0.0,0.0,9020268.0,0.06696462499999999,592194.9647249999,884340.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,565664.7647249999,0.0,0,0.0,660948.9874999999,0.0,0.0,0.0,0.0,0.0,0.0,660948.9874999999,,26530.2,565664.7647249999,565664.7647249999,56566.47647249999,424248.5735437499,84849.71470874998,0.02,9020268.0,1915482.4375,0.14,0.0,0.0,0.0,0.0,0.0,2607898.55229375,0.0,,0.0,0.0,660948.9874999999,745798.70220875,0.0,0.0,0.0,0.0,0.0,,1228993.5110437497,163865.80147249997,245798.70220874995,424248.5735437499,0.0,424248.5735437499,56566.47647249999,84849.71470874998,56566.47647249999,163865.80147249997,19836134.1985275,False,5608764.2545024995,False,False,False,False,19836134.1985275,0.0,0.0,0.0,0.0,0.0,19836134.1985275,0.0,0.0,0.0,26530.2,78040.2,0.0,12373965.2545025,
slow_grind,4,top_down,9020268.0,9200673.36,0.0,0.0,9200673.36,0.06796909437499998,613099.4469797923,902026.8,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,586038.6429797923,0.0,0,0.0,745798.70220875,0.0,0.0,0.0,0.0,0.0,0.0,745798.70220875,,27060.804,586038.6429797923,586038.6429797923,58603.864297979235,439528.98223484424,87905.79644696884,0.02,9200673.36,2607898.55229375,0.03,0.0,0.0,0.0,0.0,0.0,3125664.4910974065,0.0,,0.0,0.0,745798.70220875,833704.4986557188,0.0,0.0,0.0,0.0,0.0,,1668522.493278594,222469.6657704792,333704.4986557188,439528.98223484424,0.0,439528.98223484424,58603.864297979235,87905.79644696884,58603.864297979235,222469.6657704792,19777530.33422952,False,6259537.329753125,False,False,False,False,19777530.33422952,0.0,0.0,0.0,0.0,0.0,19777530.33422952,0.0,0.0,0.0,27060.804,105101.004,0.0,13160042.349753123,
slow_grind,5,top_down,9200673.36,9384686.8272,0.0,0.0,9384686.8272,0.06898863079062498,634741.8574581789,920067.336,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,607139.8373781788,0.0,0,0.0,833704.4986557188,0.0,0.0,0.0,0.0,0.0,0.0,833704.4986557188,,27602.02008,607139.8373781788,607139.8373781788,60713.983737817885,455354.87803363416,91070.97560672682,0.02,9384686.8272,3125664.4910974065,0.16,0.0,0.0,0.0,0.0,0.0,4081125.6877066256,0.0,,0.0,0.0,833704.4986557188,924775.4742624456,0.0,0.0,0.0,0.0,0.0,,2123877.371312228,283183.6495082971,424775.47426244564,455354.87803363416,0.0,455354.87803363416,60713.983737817885,91070.97560672682,60713.983737817885,283183.6495082971,19716816.350491703,False,7352072.868769071,False,False,False,False,19716816.350491703,0.0,0.0,0.0,0.0,0.0,19716816.350491703,0.0,0.0,0.0,27602.02008,132703.02408,0.0,14390587.98916907,
slow_grind,6,top_down,9384686.8272,9572380.563744,0.0,0.0,9572380.563744,0.07002346025248435,657148.2450264526,938468.6827199999,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,628994.1845448526,0.0,0,0.0,924775.4742624456,0.0,0.0,0.0,0.0,0.0,0.0,924775.4742624456,,28154.060481599998,628994.1845448526,628994.1845448526,62899.41845448526,471745.63840863947,94349.12768172788,0.02,9572380.563744,4081125.6877066256,0.07,0.0,0.0,0.0,0.0,0.0,4838550.124254729,0.0,,0.0,0.0,924775.4742624456,1019124.6019441735,0.0,0.0,0.0,0.0,0.0,,2595623.0097208675,346083.06796278234,519124.6019441735,471745.63840863947,0.0,471745.63840863947,62899.41845448526,94349.12768172788,62899.41845448526,346083.06796278234,19653916.93203722,False,8250769.867134903,False,False,False,False,19653916.93203722,0.0,0.0,0.0,0.0,0.0,19653916.93203722,0.0,0.0,0.0,28154.060481599998,160857.0845616,0.0,15430055.2899429,
slow_grind,7,top_down,9572380.563744,9763828.175018879,0.0,0.0,9763828.175018879,0.07107381215627159,680345.5780758861,957238.0563743999,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,651628.4363846541,0.0,0,0.0,1019124.6019441735,0.0,0.0,0.0,0.0,0.0,0.0,1019124.6019441735,,28717.141691232,651628.4363846541,651628.4363846541,65162.84363846542,488721.3272884906,97744.26545769811,0.02,9763828.175018879,4838550.124254729,0.25,0.0,0.0,0.0,0.0,0.0,6536908.982606902,0.0,,0.0,0.0,1019124.6019441735,1116868.8674018716,0.0,0.0,0.0,0.0,0.0,,3084344.337009358,411245.91160124773,616868.8674018716,488721.3272884906,0.0,488721.3272884906,65162.84363846542,97744.26545769811,65162.84363846542,411245.91160124773,19588754.08839875,False,10094734.893763494,False,False,False,False,19588754.08839875,0.0,0.0,0.0,0.0,0.0,19588754.08839875,0.0,0.0,0.0,28717.141691232,189574.22625283198,0.0,17417606.02502765,
