scenario,year,re_opening_nav,re_noi_yield,re_noi,gross_rent,re_asset_mgmt_fee,net_re_cashflow,re_appreciation_rate,re_closing_nav,hf_opening_nav,hf_return,hf_harvest,hf_closing_nav,refinance_proceeds,refinance_use_of_proceeds,cumulative_refinance_proceeds,reserve_opening_nav,reserve_closing_nav,retained_cash,lp_cash_yield_target,lp_cash_yield_paid,lp_cash_yield_shortfall,cumulative_lp_cash_yield_shortfall,lp_cash_yield_coverage_ratio,lp_distribution,lp_cumulative_distribution,lp_remaining_hurdle,economic_hurdle_passed,liquidity_available,liquidity_hurdle_passed,gp_fees,gp_cumulative_fees,gp_residual_nav,fund_nav,event_flag
re_liquidity_sensitivity__base_hit_everyone_happy__re_liquidity_60,7,10755211.657216,0.08697700636596674,935456.1127769956,1290625.3988659198,38718.761965977596,896737.350811018,0.04,11185420.12350464,1946343.1680000005,0.06,0.0,2063123.7580800008,0.0,,0.0,500000.0,500000.0,0.0,0.0,0.0,0.0,0.0,,896737.350811018,5208254.858888794,14791745.141111206,False,9274375.832182785,False,38718.761965977596,241687.81111541757,0.0,13748543.88158464,
re_liquidity_sensitivity__base_hit_everyone_happy__re_liquidity_60,8,11185420.12350464,0.08915143152511591,997196.2162202775,1342250.4148205568,40267.5124446167,956928.7037756608,0.04,11632836.928444827,2063123.7580800008,0.06,0.0,2186911.183564801,0.0,,0.0,500000.0,500000.0,0.0,0.0,0.0,0.0,0.0,,956928.7037756608,6165183.562664455,13834816.437335545,True,9666613.340631697,False,40267.5124446167,281955.3235600343,0.0,14319748.112009628,HURDLE_REACHED_BUT_LIQUIDITY_CONSTRAINED
re_liquidity_sensitivity__slow_grind__re_liquidity_25,1,8500000.0,0.065,552500.0,850000.0,25500.0,527000.0,0.02,8670000.0,1000000.0,0.02,0.0,1020000.0,0.0,,0.0,500000.0,500000.0,0.0,0.0,0.0,0.0,0.0,,527000.0,527000.0,19473000.0,False,3687500.0,False,25500.0,25500.0,0.0,10190000.0,
re_liquidity_sensitivity__slow_grind__re_liquidity_25,2,8670000.0,0.06597499999999999,572003.2499999999,867000.0,26010.0,545993.2499999999,0.02,8843400.0,1020000.0,-0.05,0.0,969000.0,0.0,,0.0,500000.0,500000.0,0.0,0.0,0.0,0.0,0.0,,545993.2499999999,1072993.25,18927006.75,False,3679850.0,False,26010.0,51510.0,0.0,10312400.0,
re_liquidity_sensitivity__slow_grind__re_liquidity_25,3,8843400.0,0.06696462499999999,592194.9647249999,884340.0,26530.2,565664.7647249999,0.02,9020268.0,969000.0,0.04,0.0,1007760.0,0.0,,0.0,500000.0,500000.0,0.0,0.0,0.0,0.0,0.0,,565664.7647249999,1638658.014725,18361341.985275,False,3762827.0,False,26530.2,78040.2,0.0,10528028.0,
re_liquidity_sensitivity__slow_grind__re_liquidity_25,4,9020268.0,0.06796909437499998,613099.4469797923,902026.8,27060.804,586038.6429797923,0.02,9200673.36,1007760.0,0.03,0.0,1037992.8,0.0,,0.0,500000.0,500000.0,0.0,0.0,0.0,0.0,0.0,,586038.6429797923,2224696.657704792,17775303.342295207,False,3838161.1399999997,False,27060.804,105101.004,0.0,10738666.16,
re_liquidity_sensitivity__slow_grind__re_liquidity_25,5,9200673.36,0.06898863079062498,634741.8574581789,920067.336,27602.02008,607139.8373781788,0.02,9384686.8272,1037992.8,0.06,0.0,1100272.368,0.0,,0.0,500000.0,500000.0,0.0,0.0,0.0,0.0,0.0,,607139.8373781788,2831836.4950829707,17168163.50491703,False,3946444.0747999996,False,27602.02008,132703.02408,0.0,10984959.1952,
re_liquidity_sensitivity__slow_grind__re_liquidity_25,6,9384686.8272,0.07002346025248435,657148.2450264526,938468.6827199999,28154.060481599998,628994.1845448526,0.02,9572380.563744,1100272.368,0.02,0.0,1122277.8153600001,0.0,,0.0,500000.0,500000.0,0.0,0.0,0.0,0.0,0.0,,628994.1845448526,3460830.679627823,16539169.320372177,False,4015372.9562959997,False,28154.060481599998,160857.0845616,0.0,11194658.379104,
re_liquidity_sensitivity__slow_grind__re_liquidity_25,7,9572380.563744,0.07107381215627159,680345.5780758861,957238.0563743999,28717.141691232,651628.4363846541,0.02,9763828.175018879,1122277.8153600001,0.04,0.0,1167168.9279744,0.0,,0.0,500000.0,500000.0,0.0,0.0,0.0,0.0,0.0,,651628.4363846541,4112459.1160124773,15887540.883987524,False,4108125.97172912,False,28717.141691232,189574.22625283198,0.0,11430997.10299328,
re_liquidity_sensitivity__slow_grind__re_liquidity_25,8,9763828.175018879,0.07213991933861567,704361.7769819649,976382.8175018879,29291.484525056636,675070.2924569083,0.02,9959104.738519257,1167168.9279744,0.05,0.0,1225527.3743731203,0.0,,0.0,500000.0,500000.0,0.0,0.0,0.0,0.0,0.0,,675070.2924569083,4787529.4084693855,15212470.591530614,False,4215303.559002934,False,29291.484525056636,218865.71077788863,0.0,11684632.112892378,
re_liquidity_sensitivity__slow_grind__re_liquidity_25,9,9959104.738519257,0.0732220181286949,729225.7477094283,995910.4738519257,29877.31421555777,699348.4334938705,0.02,10158286.833289642,1225527.3743731203,0.03,0.0,1262293.1956043139,0.0,,0.0,500000.0,500000.0,0.0,0.0,0.0,0.0,0.0,,699348.4334938705,5486877.841963256,14513122.158036744,False,4301864.903926725,False,29877.31421555777,248743.0249934464,0.0,11920580.028893955,
re_liquidity_sensitivity__slow_grind__re_liquidity_25,10,10158286.833289642,0.07432034840062532,754967.416603571,1015828.6833289643,30474.860499868926,724492.5561037022,0.02,10361452.569955435,1262293.1956043139,0.02,0.0,1287539.0595164,0.0,,0.0,500000.0,500000.0,0.0,0.0,0.0,0.0,0.0,,724492.5561037022,6211370.398066958,13788629.601933042,False,4377902.202005259,False,30474.860499868926,279217.8854933153,0.0,12148991.629471835,
re_liquidity_sensitivity__slow_grind__re_liquidity_25,11,10361452.569955435,0.0754351536266347,781617.7664096771,1036145.2569955435,31084.357709866305,750533.4086998109,0.02,10568681.621354543,1287539.0595164,0.04,0.0,1339040.6218970562,0.0,,0.0,500000.0,500000.0,0.0,0.0,0.0,0.0,0.0,,750533.4086998109,6961903.806766769,13038096.193233231,False,4481211.027235692,False,31084.357709866305,310302.2432031816,0.0,12407722.2432516,
re_liquidity_sensitivity__slow_grind__re_liquidity_25,12,10568681.621354543,0.07656668093103419,809208.8735639384,1056868.1621354544,31706.04486406363,777502.8286998748,0.02,10780055.253781633,1339040.6218970562,0.04,0.0,1392602.2467729386,0.0,,0.0,500000.0,500000.0,0.0,0.0,0.0,0.0,0.0,,777502.8286998748,7739406.635466644,12260593.364533357,True,4587616.060218347,False,31706.04486406363,342008.2880672452,0.0,12672657.500554573,HURDLE_REACHED_BUT_LIQUIDITY_CONSTRAINED
re_liquidity_sensitivity__slow_grind__re_liquidity_25,13,10780055.253781633,0.07771518114499971,837773.9468007456,1078005.5253781634,32340.165761344902,805433.7810394006,0.02,10995656.358857267,1392602.2467729386,0.03,0.0,1434380.3141761268,0.0,,0.0,500000.0,500000.0,0.0,0.0,0.0,0.0,0.0,,805433.7810394006,8544840.416506045,11455159.583493955,True,4683294.403890444,False,32340.165761344902,374348.4538285901,0.0,12930036.673033394,HURDLE_REACHED_BUT_LIQUIDITY_CONSTRAINED
