scenario,year,re_opening_nav,re_noi_yield,re_noi,gross_rent,re_asset_mgmt_fee,net_re_cashflow,re_appreciation_rate,re_closing_nav,hf_opening_nav,hf_return,hf_harvest,hf_closing_nav,refinance_proceeds,refinance_use_of_proceeds,cumulative_refinance_proceeds,reserve_opening_nav,reserve_closing_nav,retained_cash,lp_cash_yield_target,lp_cash_yield_paid,lp_cash_yield_shortfall,cumulative_lp_cash_yield_shortfall,lp_cash_yield_coverage_ratio,lp_distribution,lp_cumulative_distribution,lp_remaining_hurdle,economic_hurdle_passed,liquidity_available,liquidity_hurdle_passed,gp_fees,gp_cumulative_fees,gp_residual_nav,fund_nav,event_flag
re_liquidity_sensitivity__slow_grind__re_liquidity_25,14,10995656.358857267,0.07888090886217469,867347.3671228116,1099565.6358857267,32986.9690765718,834360.3980462399,0.02,11215569.486034412,1434380.3141761268,0.03,0.0,1477411.7236014106,0.0,,0.0,500000.0,500000.0,0.0,0.0,0.0,0.0,0.0,,834360.3980462399,9379200.814552285,10620799.185447715,True,4781304.095110014,False,32986.9690765718,407335.4229051619,0.0,13192981.209635822,HURDLE_REACHED_BUT_LIQUIDITY_CONSTRAINED
re_liquidity_sensitivity__slow_grind__re_liquidity_25,15,11215569.486034412,0.0800641224951073,897964.7291822468,1121556.9486034412,33646.70845810324,864318.0207241436,0.02,11439880.8757551,1477411.7236014106,0.03,0.0,1521734.075309453,0.0,,0.0,500000.0,500000.0,0.0,0.0,0.0,0.0,0.0,,864318.0207241436,10243518.835276429,9756481.164723571,True,4881704.294248228,False,33646.70845810324,440982.13136326516,0.0,13461614.951064553,HURDLE_REACHED_BUT_LIQUIDITY_CONSTRAINED
re_liquidity_sensitivity__slow_grind__re_liquidity_40,1,8500000.0,0.065,552500.0,850000.0,25500.0,527000.0,0.02,8670000.0,1000000.0,0.02,0.0,1020000.0,0.0,,0.0,500000.0,500000.0,0.0,0.0,0.0,0.0,0.0,,527000.0,527000.0,19473000.0,False,4988000.0,False,25500.0,25500.0,0.0,10190000.0,
re_liquidity_sensitivity__slow_grind__re_liquidity_40,2,8670000.0,0.06597499999999999,572003.2499999999,867000.0,26010.0,545993.2499999999,0.02,8843400.0,1020000.0,-0.05,0.0,969000.0,0.0,,0.0,500000.0,500000.0,0.0,0.0,0.0,0.0,0.0,,545993.2499999999,1072993.25,18927006.75,False,5006360.0,False,26010.0,51510.0,0.0,10312400.0,
re_liquidity_sensitivity__slow_grind__re_liquidity_40,3,8843400.0,0.06696462499999999,592194.9647249999,884340.0,26530.2,565664.7647249999,0.02,9020268.0,969000.0,0.04,0.0,1007760.0,0.0,,0.0,500000.0,500000.0,0.0,0.0,0.0,0.0,0.0,,565664.7647249999,1638658.014725,18361341.985275,False,5115867.2,False,26530.2,78040.2,0.0,10528028.0,
re_liquidity_sensitivity__slow_grind__re_liquidity_40,4,9020268.0,0.06796909437499998,613099.4469797923,902026.8,27060.804,586038.6429797923,0.02,9200673.36,1007760.0,0.03,0.0,1037992.8,0.0,,0.0,500000.0,500000.0,0.0,0.0,0.0,0.0,0.0,,586038.6429797923,2224696.657704792,17775303.342295207,False,5218262.144,False,27060.804,105101.004,0.0,10738666.16,
re_liquidity_sensitivity__slow_grind__re_liquidity_40,5,9200673.36,0.06898863079062498,634741.8574581789,920067.336,27602.02008,607139.8373781788,0.02,9384686.8272,1037992.8,0.06,0.0,1100272.368,0.0,,0.0,500000.0,500000.0,0.0,0.0,0.0,0.0,0.0,,607139.8373781788,2831836.4950829707,17168163.50491703,False,5354147.0988799995,False,27602.02008,132703.02408,0.0,10984959.1952,
re_liquidity_sensitivity__slow_grind__re_liquidity_40,6,9384686.8272,0.07002346025248435,657148.2450264526,938468.6827199999,28154.060481599998,628994.1845448526,0.02,9572380.563744,1100272.368,0.02,0.0,1122277.8153600001,0.0,,0.0,500000.0,500000.0,0.0,0.0,0.0,0.0,0.0,,628994.1845448526,3460830.679627823,16539169.320372177,False,5451230.0408576,False,28154.060481599998,160857.0845616,0.0,11194658.379104,
re_liquidity_sensitivity__slow_grind__re_liquidity_40,7,9572380.563744,0.07107381215627159,680345.5780758861,957238.0563743999,28717.141691232,651628.4363846541,0.02,9763828.175018879,1122277.8153600001,0.04,0.0,1167168.9279744,0.0,,0.0,500000.0,500000.0,0.0,0.0,0.0,0.0,0.0,,651628.4363846541,4112459.1160124773,15887540.883987524,False,5572700.197981952,False,28717.141691232,189574.22625283198,0.0,11430997.10299328,
re_liquidity_sensitivity__slow_grind__re_liquidity_40,8,9763828.175018879,0.07213991933861567,704361.7769819649,976382.8175018879,29291.484525056636,675070.2924569083,0.02,9959104.738519257,1167168.9279744,0.05,0.0,1225527.3743731203,0.0,,0.0,500000.0,500000.0,0.0,0.0,0.0,0.0,0.0,,675070.2924569083,4787529.4084693855,15212470.591530614,False,5709169.269780823,False,29291.484525056636,218865.71077788863,0.0,11684632.112892378,
re_liquidity_sensitivity__slow_grind__re_liquidity_40,9,9959104.738519257,0.0732220181286949,729225.7477094283,995910.4738519257,29877.31421555777,699348.4334938705,0.02,10158286.833289642,1225527.3743731203,0.03,0.0,1262293.1956043139,0.0,,0.0,500000.0,500000.0,0.0,0.0,0.0,0.0,0.0,,699348.4334938705,5486877.841963256,14513122.158036744,False,5825607.928920171,False,29877.31421555777,248743.0249934464,0.0,11920580.028893955,
re_liquidity_sensitivity__slow_grind__re_liquidity_40,10,10158286.833289642,0.07432034840062532,754967.416603571,1015828.6833289643,30474.860499868926,724492.5561037022,0.02,10361452.569955435,1262293.1956043139,0.02,0.0,1287539.0595164,0.0,,0.0,500000.0,500000.0,0.0,0.0,0.0,0.0,0.0,,724492.5561037022,6211370.398066958,13788629.601933042,False,5932120.087498574,False,30474.860499868926,279217.8854933153,0.0,12148991.629471835,
re_liquidity_sensitivity__slow_grind__re_liquidity_40,11,10361452.569955435,0.0754351536266347,781617.7664096771,1036145.2569955435,31084.357709866305,750533.4086998109,0.02,10568681.621354543,1287539.0595164,0.04,0.0,1339040.6218970562,0.0,,0.0,500000.0,500000.0,0.0,0.0,0.0,0.0,0.0,,750533.4086998109,6961903.806766769,13038096.193233231,False,6066513.270438874,False,31084.357709866305,310302.2432031816,0.0,12407722.2432516,
re_liquidity_sensitivity__slow_grind__re_liquidity_40,12,10568681.621354543,0.07656668093103419,809208.8735639384,1056868.1621354544,31706.04486406363,777502.8286998748,0.02,10780055.253781633,1339040.6218970562,0.04,0.0,1392602.2467729386,0.0,,0.0,500000.0,500000.0,0.0,0.0,0.0,0.0,0.0,,777502.8286998748,7739406.635466644,12260593.364533357,True,6204624.348285592,False,31706.04486406363,342008.2880672452,0.0,12672657.500554573,HURDLE_REACHED_BUT_LIQUIDITY_CONSTRAINED
re_liquidity_sensitivity__slow_grind__re_liquidity_40,13,10780055.253781633,0.07771518114499971,837773.9468007456,1078005.5253781634,32340.165761344902,805433.7810394006,0.02,10995656.358857267,1392602.2467729386,0.03,0.0,1434380.3141761268,0.0,,0.0,500000.0,500000.0,0.0,0.0,0.0,0.0,0.0,,805433.7810394006,8544840.416506045,11455159.583493955,True,6332642.857719034,False,32340.165761344902,374348.4538285901,0.0,12930036.673033394,HURDLE_REACHED_BUT_LIQUIDITY_CONSTRAINED
re_liquidity_sensitivity__slow_grind__re_liquidity_40,14,10995656.358857267,0.07888090886217469,867347.3671228116,1099565.6358857267,32986.9690765718,834360.3980462399,0.02,11215569.486034412,1434380.3141761268,0.03,0.0,1477411.7236014106,0.0,,0.0,500000.0,500000.0,0.0,0.0,0.0,0.0,0.0,,834360.3980462399,9379200.814552285,10620799.185447715,True,6463639.518015176,False,32986.9690765718,407335.4229051619,0.0,13192981.209635822,HURDLE_REACHED_BUT_LIQUIDITY_CONSTRAINED
re_liquidity_sensitivity__slow_grind__re_liquidity_40,15,11215569.486034412,0.0800641224951073,897964.7291822468,1121556.9486034412,33646.70845810324,864318.0207241436,0.02,11439880.8757551,1477411.7236014106,0.03,0.0,1521734.075309453,0.0,,0.0,500000.0,500000.0,0.0,0.0,0.0,0.0,0.0,,864318.0207241436,10243518.835276429,9756481.164723571,True,6597686.425611492,False,33646.70845810324,440982.13136326516,0.0,13461614.951064553,HURDLE_REACHED_BUT_LIQUIDITY_CONSTRAINED
re_liquidity_sensitivity__slow_grind__re_liquidity_60,1,8500000.0,0.065,552500.0,850000.0,25500.0,527000.0,0.02,8670000.0,1000000.0,0.02,0.0,1020000.0,0.0,,0.0,500000.0,500000.0,0.0,0.0,0.0,0.0,0.0,,527000.0,527000.0,19473000.0,False,6722000.0,False,25500.0,25500.0,0.0,10190000.0,
re_liquidity_sensitivity__slow_grind__re_liquidity_60,2,8670000.0,0.06597499999999999,572003.2499999999,867000.0,26010.0,545993.2499999999,0.02,8843400.0,1020000.0,-0.05,0.0,969000.0,0.0,,0.0,500000.0,500000.0,0.0,0.0,0.0,0.0,0.0,,545993.2499999999,1072993.25,18927006.75,False,6775040.0,False,26010.0,51510.0,0.0,10312400.0,
re_liquidity_sensitivity__slow_grind__re_liquidity_60,3,8843400.0,0.06696462499999999,592194.9647249999,884340.0,26530.2,565664.7647249999,0.02,9020268.0,969000.0,0.04,0.0,1007760.0,0.0,,0.0,500000.0,500000.0,0.0,0.0,0.0,0.0,0.0,,565664.7647249999,1638658.014725,18361341.985275,False,6919920.8,False,26530.2,78040.2,0.0,10528028.0,
re_liquidity_sensitivity__slow_grind__re_liquidity_60,4,9020268.0,0.06796909437499998,613099.4469797923,902026.8,27060.804,586038.6429797923,0.02,9200673.36,1007760.0,0.03,0.0,1037992.8,0.0,,0.0,500000.0,500000.0,0.0,0.0,0.0,0.0,0.0,,586038.6429797923,2224696.657704792,17775303.342295207,False,7058396.816,False,27060.804,105101.004,0.0,10738666.16,
re_liquidity_sensitivity__slow_grind__re_liquidity_60,5,9200673.36,0.06898863079062498,634741.8574581789,920067.336,27602.02008,607139.8373781788,0.02,9384686.8272,1037992.8,0.06,0.0,1100272.368,0.0,,0.0,500000.0,500000.0,0.0,0.0,0.0,0.0,0.0,,607139.8373781788,2831836.4950829707,17168163.50491703,False,7231084.464319999,False,27602.02008,132703.02408,0.0,10984959.1952,
re_liquidity_sensitivity__slow_grind__re_liquidity_60,6,9384686.8272,0.07002346025248435,657148.2450264526,938468.6827199999,28154.060481599998,628994.1845448526,0.02,9572380.563744,1100272.368,0.02,0.0,1122277.8153600001,0.0,,0.0,500000.0,500000.0,0.0,0.0,0.0,0.0,0.0,,628994.1845448526,3460830.679627823,16539169.320372177,False,7365706.1536064,False,28154.060481599998,160857.0845616,0.0,11194658.379104,
re_liquidity_sensitivity__slow_grind__re_liquidity_60,7,9572380.563744,0.07107381215627159,680345.5780758861,957238.0563743999,28717.141691232,651628.4363846541,0.02,9763828.175018879,1122277.8153600001,0.04,0.0,1167168.9279744,0.0,,0.0,500000.0,500000.0,0.0,0.0,0.0,0.0,0.0,,651628.4363846541,4112459.1160124773,15887540.883987524,False,7525465.832985727,False,28717.141691232,189574.22625283198,0.0,11430997.10299328,
re_liquidity_sensitivity__slow_grind__re_liquidity_60,8,9763828.175018879,0.07213991933861567,704361.7769819649,976382.8175018879,29291.484525056636,675070.2924569083,0.02,9959104.738519257,1167168.9279744,0.05,0.0,1225527.3743731203,0.0,,0.0,500000.0,500000.0,0.0,0.0,0.0,0.0,0.0,,675070.2924569083,4787529.4084693855,15212470.591530614,False,7700990.217484674,False,29291.484525056636,218865.71077788863,0.0,11684632.112892378,
re_liquidity_sensitivity__slow_grind__re_liquidity_60,9,9959104.738519257,0.0732220181286949,729225.7477094283,995910.4738519257,29877.31421555777,699348.4334938705,0.02,10158286.833289642,1225527.3743731203,0.03,0.0,1262293.1956043139,0.0,,0.0,500000.0,500000.0,0.0,0.0,0.0,0.0,0.0,,699348.4334938705,5486877.841963256,14513122.158036744,False,7857265.295578099,False,29877.31421555777,248743.0249934464,0.0,11920580.028893955,
re_liquidity_sensitivity__slow_grind__re_liquidity_60,10,10158286.833289642,0.07432034840062532,754967.416603571,1015828.6833289643,30474.860499868926,724492.5561037022,0.02,10361452.569955435,1262293.1956043139,0.02,0.0,1287539.0595164,0.0,,0.0,500000.0,500000.0,0.0,0.0,0.0,0.0,0.0,,724492.5561037022,6211370.398066958,13788629.601933042,False,8004410.60148966,False,30474.860499868926,279217.8854933153,0.0,12148991.629471835,
re_liquidity_sensitivity__slow_grind__re_liquidity_60,11,10361452.569955435,0.0754351536266347,781617.7664096771,1036145.2569955435,31084.357709866305,750533.4086998109,0.02,10568681.621354543,1287539.0595164,0.04,0.0,1339040.6218970562,0.0,,0.0,500000.0,500000.0,0.0,0.0,0.0,0.0,0.0,,750533.4086998109,6961903.806766769,13038096.193233231,False,8180249.594709782,False,31084.357709866305,310302.2432031816,0.0,12407722.2432516,
re_liquidity_sensitivity__slow_grind__re_liquidity_60,12,10568681.621354543,0.07656668093103419,809208.8735639384,1056868.1621354544,31706.04486406363,777502.8286998748,0.02,10780055.253781633,1339040.6218970562,0.04,0.0,1392602.2467729386,0.0,,0.0,500000.0,500000.0,0.0,0.0,0.0,0.0,0.0,,777502.8286998748,7739406.635466644,12260593.364533357,True,8360635.399041918,False,31706.04486406363,342008.2880672452,0.0,12672657.500554573,HURDLE_REACHED_BUT_LIQUIDITY_CONSTRAINED
re_liquidity_sensitivity__slow_grind__re_liquidity_60,13,10780055.253781633,0.07771518114499971,837773.9468007456,1078005.5253781634,32340.165761344902,805433.7810394006,0.02,10995656.358857267,1392602.2467729386,0.03,0.0,1434380.3141761268,0.0,,0.0,500000.0,500000.0,0.0,0.0,0.0,0.0,0.0,,805433.7810394006,8544840.416506045,11455159.583493955,True,8531774.129490487,False,32340.165761344902,374348.4538285901,0.0,12930036.673033394,HURDLE_REACHED_BUT_LIQUIDITY_CONSTRAINED
re_liquidity_sensitivity__slow_grind__re_liquidity_60,14,10995656.358857267,0.07888090886217469,867347.3671228116,1099565.6358857267,32986.9690765718,834360.3980462399,0.02,11215569.486034412,1434380.3141761268,0.03,0.0,1477411.7236014106,0.0,,0.0,500000.0,500000.0,0.0,0.0,0.0,0.0,0.0,,834360.3980462399,9379200.814552285,10620799.185447715,True,8706753.415222058,False,32986.9690765718,407335.4229051619,0.0,13192981.209635822,HURDLE_REACHED_BUT_LIQUIDITY_CONSTRAINED
re_liquidity_sensitivity__slow_grind__re_liquidity_60,15,11215569.486034412,0.0800641224951073,897964.7291822468,1121556.9486034412,33646.70845810324,864318.0207241436,0.02,11439880.8757551,1477411.7236014106,0.03,0.0,1521734.075309453,0.0,,0.0,500000.0,500000.0,0.0,0.0,0.0,0.0,0.0,,864318.0207241436,10243518.835276429,9756481.164723571,True,8885662.600762513,False,33646.70845810324,440982.13136326516,0.0,13461614.951064553,HURDLE_REACHED_BUT_LIQUIDITY_CONSTRAINED
re_liquidity_sensitivity__liquidity_trap__re_liquidity_25,1,8500000.0,0.07,595000.0,935000.0,28050.0,566950.0,0.07,9095000.0,1000000.0,0.1,0.0,1100000.0,0.0,,0.0,500000.0,500000.0,0.0,0.0,0.0,0.0,0.0,,566950.0,566950.0,19433050.0,False,3873750.0,False,28050.0,28050.0,0.0,10695000.0,
re_liquidity_sensitivity__liquidity_trap__re_liquidity_25,2,9095000.0,0.07210000000000001,655749.5000000001,1000450.0,30013.5,625736.0000000001,0.07,9731650.0,1100000.0,0.08,0.0,1188000.0,0.0,,0.0,500000.0,500000.0,0.0,0.0,0.0,0.0,0.0,,625736.0000000001,1192686.0,18807314.0,False,4120912.5,False,30013.5,58063.5,0.0,11419650.0,
re_liquidity_sensitivity__liquidity_trap__re_liquidity_25,3,9731650.0,0.07426300000000001,722701.5239500001,1070481.5,32114.445,690587.0789500001,0.07,10412865.5,1188000.0,0.08,0.0,1283040.0,0.0,,0.0,500000.0,500000.0,0.0,0.0,0.0,0.0,0.0,,690587.0789500001,1883273.07895,18116726.92105,False,4386256.375,False,32114.445,90177.945,0.0,12195905.5,
re_liquidity_sensitivity__liquidity_trap__re_liquidity_25,4,10412865.5,0.07649089,796489.3495452951,1145415.205,34362.45615,762126.8933952951,0.07,11141766.085,1283040.0,0.05,0.0,1347192.0,0.0,,0.0,500000.0,500000.0,0.0,0.0,0.0,0.0,0.0,,762126.8933952951,2645399.9723452954,17354600.027654704,False,4632633.52125,False,34362.45615,124540.40115,0.0,12988958.085,
re_liquidity_sensitivity__liquidity_trap__re_liquidity_25,5,11141766.085,0.07878561670000002,877810.91213387,1225594.2693500002,36767.8280805,841043.0840533699,0.07,11921689.710950002,1347192.0,0.05,0.0,1414551.6,0.0,,0.0,500000.0,500000.0,0.0,0.0,0.0,0.0,0.0,,841043.0840533699,3486443.0563986655,16513556.943601334,False,4894974.0277375,False,36767.8280805,161308.2292305,0.0,13836241.310950002,
re_liquidity_sensitivity__liquidity_trap__re_liquidity_25,6,11921689.710950002,0.08114918520100001,967435.4062627379,1311385.8682045003,39341.57604613501,928093.8302166029,0.07,12756207.990716502,1414551.6,0.05,0.0,1485279.1800000002,0.0,,0.0,500000.0,500000.0,0.0,0.0,0.0,0.0,0.0,,928093.8302166029,4414536.886615269,15585463.113384731,False,5174331.177679125,False,39341.57604613501,200649.80527663502,0.0,14741487.170716502,
re_liquidity_sensitivity__liquidity_trap__re_liquidity_25,7,12756207.990716502,0.08358366075703001,1066210.5612421636,1403182.8789788152,42095.48636936445,1024115.0748727992,0.07,13649142.550066657,1485279.1800000002,0.04,0.0,1544690.3472000002,0.0,,0.0,500000.0,500000.0,0.0,0.0,0.0,0.0,0.0,,1024115.0748727992,5438651.961488068,14561348.038511932,True,5456975.984716665,False,42095.48636936445,242745.29164599947,0.0,15693832.897266658,HURDLE_REACHED_BUT_LIQUIDITY_CONSTRAINED
re_liquidity_sensitivity__liquidity_trap__re_liquidity_25,8,13649142.550066657,0.08609117057974092,1175070.6595449885,1501405.6805073323,45042.17041521997,1130028.4891297687,0.07,14604582.528571324,1544690.3472000002,0.04,0.0,1606477.9610880003,0.0,,0.0,500000.0,500000.0,0.0,0.0,0.0,0.0,0.0,,1130028.4891297687,6568680.450617837,13431319.549382163,True,5757623.593230831,False,45042.17041521997,287787.46206121944,0.0,16711060.489659324,HURDLE_REACHED_BUT_LIQUIDITY_CONSTRAINED
re_liquidity_sensitivity__liquidity_trap__re_liquidity_25,9,14604582.528571324,0.08867390569713315,1295045.3738845321,1606504.0781428458,48195.12234428537,1246850.2515402467,0.07,15626903.305571318,1606477.9610880003,0.04,0.0,1670737.0795315204,0.0,,0.0,500000.0,500000.0,0.0,0.0,0.0,0.0,0.0,,1246850.2515402467,7815530.702158083,12184469.297841918,True,6077462.90592435,False,48195.12234428537,335982.5844055048,0.0,17797640.38510284,HURDLE_REACHED_BUT_LIQUIDITY_CONSTRAINED
re_liquidity_sensitivity__liquidity_trap__re_liquidity_25,10,15626903.305571318,0.09133412286804715,1427269.5065581428,1718959.3636128448,51568.78090838534,1375700.7256497575,0.07,16720786.536961311,1670737.0795315204,0.04,0.0,1737566.5627127811,0.0,,0.0,500000.0,500000.0,0.0,0.0,0.0,0.0,0.0,,1375700.7256497575,9191231.427807841,10808768.572192159,True,6417763.1969531085,False,51568.78090838534,387551.36531389016,0.0,18958353.09967409,HURDLE_REACHED_BUT_LIQUIDITY_CONSTRAINED
re_liquidity_sensitivity__liquidity_trap__re_liquidity_40,1,8500000.0,0.07,595000.0,935000.0,28050.0,566950.0,0.07,9095000.0,1000000.0,0.1,0.0,1100000.0,0.0,,0.0,500000.0,500000.0,0.0,0.0,0.0,0.0,0.0,,566950.0,566950.0,19433050.0,False,5238000.0,False,28050.0,28050.0,0.0,10695000.0,
re_liquidity_sensitivity__liquidity_trap__re_liquidity_40,2,9095000.0,0.07210000000000001,655749.5000000001,1000450.0,30013.5,625736.0000000001,0.07,9731650.0,1100000.0,0.08,0.0,1188000.0,0.0,,0.0,500000.0,500000.0,0.0,0.0,0.0,0.0,0.0,,625736.0000000001,1192686.0,18807314.0,False,5580660.0,False,30013.5,58063.5,0.0,11419650.0,
re_liquidity_sensitivity__liquidity_trap__re_liquidity_40,3,9731650.0,0.07426300000000001,722701.5239500001,1070481.5,32114.445,690587.0789500001,0.07,10412865.5,1188000.0,0.08,0.0,1283040.0,0.0,,0.0,500000.0,500000.0,0.0,0.0,0.0,0.0,0.0,,690587.0789500001,1883273.07895,18116726.92105,False,5948186.2,False,32114.445,90177.945,0.0,12195905.5,
re_liquidity_sensitivity__liquidity_trap__re_liquidity_40,4,10412865.5,0.07649089,796489.3495452951,1145415.205,34362.45615,762126.8933952951,0.07,11141766.085,1283040.0,0.05,0.0,1347192.0,0.0,,0.0,500000.0,500000.0,0.0,0.0,0.0,0.0,0.0,,762126.8933952951,2645399.9723452954,17354600.027654704,False,6303898.434,False,34362.45615,124540.40115,0.0,12988958.085,
re_liquidity_sensitivity__liquidity_trap__re_liquidity_40,5,11141766.085,0.07878561670000002,877810.91213387,1225594.2693500002,36767.8280805,841043.0840533699,0.07,11921689.710950002,1347192.0,0.05,0.0,1414551.6,0.0,,0.0,500000.0,500000.0,0.0,0.0,0.0,0.0,0.0,,841043.0840533699,3486443.0563986655,16513556.943601334,False,6683227.484380001,False,36767.8280805,161308.2292305,0.0,13836241.310950002,
re_liquidity_sensitivity__liquidity_trap__re_liquidity_40,6,11921689.710950002,0.08114918520100001,967435.4062627379,1311385.8682045003,39341.57604613501,928093.8302166029,0.07,12756207.990716502,1414551.6,0.05,0.0,1485279.1800000002,0.0,,0.0,500000.0,500000.0,0.0,0.0,0.0,0.0,0.0,,928093.8302166029,4414536.886615269,15585463.113384731,False,7087762.376286602,False,39341.57604613501,200649.80527663502,0.0,14741487.170716502,
re_liquidity_sensitivity__liquidity_trap__re_liquidity_40,7,12756207.990716502,0.08358366075703001,1066210.5612421636,1403182.8789788152,42095.48636936445,1024115.0748727992,0.07,13649142.550066657,1485279.1800000002,0.04,0.0,1544690.3472000002,0.0,,0.0,500000.0,500000.0,0.0,0.0,0.0,0.0,0.0,,1024115.0748727992,5438651.961488068,14561348.038511932,True,7504347.367226664,False,42095.48636936445,242745.29164599947,0.0,15693832.897266658,HURDLE_REACHED_BUT_LIQUIDITY_CONSTRAINED
re_liquidity_sensitivity__liquidity_trap__re_liquidity_40,8,13649142.550066657,0.08609117057974092,1175070.6595449885,1501405.6805073323,45042.17041521997,1130028.4891297687,0.07,14604582.528571324,1544690.3472000002,0.04,0.0,1606477.9610880003,0.0,,0.0,500000.0,500000.0,0.0,0.0,0.0,0.0,0.0,,1130028.4891297687,6568680.450617837,13431319.549382163,True,7948310.972516531,False,45042.17041521997,287787.46206121944,0.0,16711060.489659324,HURDLE_REACHED_BUT_LIQUIDITY_CONSTRAINED
re_liquidity_sensitivity__liquidity_trap__re_liquidity_40,9,14604582.528571324,0.08867390569713315,1295045.3738845321,1606504.0781428458,48195.12234428537,1246850.2515402467,0.07,15626903.305571318,1606477.9610880003,0.04,0.0,1670737.0795315204,0.0,,0.0,500000.0,500000.0,0.0,0.0,0.0,0.0,0.0,,1246850.2515402467,7815530.702158083,12184469.297841918,True,8421498.40176005,False,48195.12234428537,335982.5844055048,0.0,17797640.38510284,HURDLE_REACHED_BUT_LIQUIDITY_CONSTRAINED
re_liquidity_sensitivity__liquidity_trap__re_liquidity_40,10,15626903.305571318,0.09133412286804715,1427269.5065581428,1718959.3636128448,51568.78090838534,1375700.7256497575,0.07,16720786.536961311,1670737.0795315204,0.04,0.0,1737566.5627127811,0.0,,0.0,500000.0,500000.0,0.0,0.0,0.0,0.0,0.0,,1375700.7256497575,9191231.427807841,10808768.572192159,True,8925881.177497305,False,51568.78090838534,387551.36531389016,0.0,18958353.09967409,HURDLE_REACHED_BUT_LIQUIDITY_CONSTRAINED
re_liquidity_sensitivity__liquidity_trap__re_liquidity_60,1,8500000.0,0.07,595000.0,935000.0,28050.0,566950.0,0.07,9095000.0,1000000.0,0.1,0.0,1100000.0,0.0,,0.0,500000.0,500000.0,0.0,0.0,0.0,0.0,0.0,,566950.0,566950.0,19433050.0,False,7057000.0,False,28050.0,28050.0,0.0,10695000.0,
re_liquidity_sensitivity__liquidity_trap__re_liquidity_60,2,9095000.0,0.07210000000000001,655749.5000000001,1000450.0,30013.5,625736.0000000001,0.07,9731650.0,1100000.0,0.08,0.0,1188000.0,0.0,,0.0,500000.0,500000.0,0.0,0.0,0.0,0.0,0.0,,625736.0000000001,1192686.0,18807314.0,False,7526990.0,False,30013.5,58063.5,0.0,11419650.0,
re_liquidity_sensitivity__liquidity_trap__re_liquidity_60,3,9731650.0,0.07426300000000001,722701.5239500001,1070481.5,32114.445,690587.0789500001,0.07,10412865.5,1188000.0,0.08,0.0,1283040.0,0.0,,0.0,500000.0,500000.0,0.0,0.0,0.0,0.0,0.0,,690587.0789500001,1883273.07895,18116726.92105,False,8030759.3,False,32114.445,90177.945,0.0,12195905.5,
re_liquidity_sensitivity__liquidity_trap__re_liquidity_60,4,10412865.5,0.07649089,796489.3495452951,1145415.205,34362.45615,762126.8933952951,0.07,11141766.085,1283040.0,0.05,0.0,1347192.0,0.0,,0.0,500000.0,500000.0,0.0,0.0,0.0,0.0,0.0,,762126.8933952951,2645399.9723452954,17354600.027654704,False,8532251.651,False,34362.45615,124540.40115,0.0,12988958.085,
re_liquidity_sensitivity__liquidity_trap__re_liquidity_60,5,11141766.085,0.07878561670000002,877810.91213387,1225594.2693500002,36767.8280805,841043.0840533699,0.07,11921689.710950002,1347192.0,0.05,0.0,1414551.6,0.0,,0.0,500000.0,500000.0,0.0,0.0,0.0,0.0,0.0,,841043.0840533699,3486443.0563986655,16513556.943601334,False,9067565.426570002,False,36767.8280805,161308.2292305,0.0,13836241.310950002,
re_liquidity_sensitivity__liquidity_trap__re_liquidity_60,6,11921689.710950002,0.08114918520100001,967435.4062627379,1311385.8682045003,39341.57604613501,928093.8302166029,0.07,12756207.990716502,1414551.6,0.05,0.0,1485279.1800000002,0.0,,0.0,500000.0,500000.0,0.0,0.0,0.0,0.0,0.0,,928093.8302166029,4414536.886615269,15585463.113384731,False,9639003.974429902,False,39341.57604613501,200649.80527663502,0.0,14741487.170716502,
re_liquidity_sensitivity__liquidity_trap__re_liquidity_60,7,12756207.990716502,0.08358366075703001,1066210.5612421636,1403182.8789788152,42095.48636936445,1024115.0748727992,0.07,13649142.550066657,1485279.1800000002,0.04,0.0,1544690.3472000002,0.0,,0.0,500000.0,500000.0,0.0,0.0,0.0,0.0,0.0,,1024115.0748727992,5438651.961488068,14561348.038511932,True,10234175.877239995,False,42095.48636936445,242745.29164599947,0.0,15693832.897266658,HURDLE_REACHED_BUT_LIQUIDITY_CONSTRAINED
re_liquidity_sensitivity__liquidity_trap__re_liquidity_60,8,13649142.550066657,0.08609117057974092,1175070.6595449885,1501405.6805073323,45042.17041521997,1130028.4891297687,0.07,14604582.528571324,1544690.3472000002,0.04,0.0,1606477.9610880003,0.0,,0.0,500000.0,500000.0,0.0,0.0,0.0,0.0,0.0,,1130028.4891297687,6568680.450617837,13431319.549382163,True,10869227.478230795,False,45042.17041521997,287787.46206121944,0.0,16711060.489659324,HURDLE_REACHED_BUT_LIQUIDITY_CONSTRAINED
re_liquidity_sensitivity__liquidity_trap__re_liquidity_60,9,14604582.528571324,0.08867390569713315,1295045.3738845321,1606504.0781428458,48195.12234428537,1246850.2515402467,0.07,15626903.305571318,1606477.9610880003,0.04,0.0,1670737.0795315204,0.0,,0.0,500000.0,500000.0,0.0,0.0,0.0,0.0,0.0,,1246850.2515402467,7815530.702158083,12184469.297841918,True,11546879.062874312,False,48195.12234428537,335982.5844055048,0.0,17797640.38510284,HURDLE_REACHED_BUT_LIQUIDITY_CONSTRAINED
